iter	Logloss
0	0.6766986084
1	0.6603155518
2	0.6455737305
3	0.6316253281
4	0.6189136887
5	0.6078701019
6	0.5970804596
7	0.5834406281
8	0.5739400482
9	0.5663098526
10	0.5578902817
11	0.5496087646
12	0.5420276642
13	0.5346035004
14	0.5290829468
15	0.5240558624
16	0.5181195068
17	0.5136348724
18	0.5064616394
19	0.5005571365
20	0.4950879669
21	0.4888386536
22	0.4855508423
23	0.4819766998
24	0.4780026245
25	0.473602562
26	0.4699802399
27	0.4669513702
28	0.4620529175
29	0.4584672928
30	0.455765152
31	0.4522373199
32	0.4494515991
33	0.4463650513
34	0.4453329468
35	0.44288414
36	0.4407671356
37	0.4379795074
38	0.4360716629
39	0.4331254196
40	0.430810051
41	0.428008728
42	0.4255582047
43	0.4219800186
44	0.4190304565
45	0.4170571136
46	0.4143325806
47	0.4120171738
48	0.4099473953
49	0.4065999985
50	0.4045151901
51	0.4024714661
52	0.4007909775
53	0.3990523911
54	0.3977815247
55	0.3963024902
56	0.3953616333
57	0.3926954269
58	0.3915378571
59	0.3890758133
60	0.3870841599
61	0.3856433487
62	0.3831195831
63	0.3813528824
64	0.3786299896
65	0.3758357239
66	0.3739476013
67	0.3721712875
68	0.3707164001
69	0.3687870789
70	0.3675066376
71	0.3654959869
72	0.364174881
73	0.3631838226
74	0.3617016602
75	0.3602223969
76	0.3586151505
77	0.3571253586
78	0.3559833145
79	0.3548842239
80	0.3529958725
81	0.3508772278
82	0.3490166473
83	0.3480296326
84	0.3470385742
85	0.3453319931
86	0.3451721954
87	0.3424492264
88	0.3411285782
89	0.3395671082
90	0.339007225
91	0.3377535248
92	0.3357698059
93	0.333802948
94	0.3325793457
95	0.3315258408
96	0.3302047729
97	0.32873909
98	0.3275190353
99	0.3264960098
100	0.3251906586
101	0.3239743042
102	0.3232495117
103	0.3214289856
104	0.3203938293
105	0.3186063957
106	0.3177915764
107	0.3165476799
108	0.315179348
109	0.3128144646
110	0.3113645363
111	0.3103294945
112	0.3094891548
113	0.3085267448
114	0.3073101425
115	0.30615942
116	0.3049475098
117	0.303169632
118	0.3026868629
119	0.3007070923
120	0.2993208694
121	0.2970152664
122	0.2953387451
123	0.293721714
124	0.2915077019
125	0.2902854156
126	0.2895224953
127	0.288337326
128	0.2876733017
129	0.2868016624
130	0.2856502724
131	0.2839917374
132	0.2832796288
133	0.2826697159
134	0.2809393692
135	0.2798941231
136	0.2787969017
137	0.2780491829
138	0.2767569733
139	0.2756603432
140	0.2752078438
141	0.2746361542
142	0.2737379456
143	0.2715117645
144	0.2701865005
145	0.2683415985
146	0.267169857
147	0.2660242844
148	0.2647708893
149	0.2639676666
150	0.2630728531
151	0.2620977402
152	0.2608604813
153	0.2601773262
154	0.2595996475
155	0.258958168
156	0.2578818703
157	0.2570575523
158	0.2559290123
159	0.2551003647
160	0.253572197
161	0.2519104767
162	0.2505349159
163	0.2498322487
164	0.2485768127
165	0.2476020813
166	0.2469938278
167	0.2461958313
168	0.2453571892
169	0.2439655685
170	0.243001442
171	0.2422234344
172	0.2412136269
173	0.2398026657
174	0.238540802
175	0.2372759056
176	0.2367061234
177	0.2358376694
178	0.2353110123
179	0.234563942
180	0.2338598633
181	0.2328510284
182	0.2314459991
183	0.2305760384
184	0.2295289993
185	0.2287088013
186	0.228155632
187	0.2269289398
188	0.2258686829
189	0.2250790024
190	0.224294014
191	0.2229718399
192	0.2219261169
193	0.2206726837
194	0.2199391174
195	0.2194406128
196	0.2186954498
197	0.2179432297
198	0.2173516846
199	0.2163254929
