iter	Passed	Remaining
0	2	477
1	4	398
2	5	359
3	7	350
4	9	369
5	11	360
6	12	354
7	14	349
8	16	348
9	17	339
10	19	334
11	21	332
12	23	331
13	24	327
14	26	323
15	28	327
16	30	325
17	32	323
18	33	321
19	35	320
20	37	317
21	38	314
22	40	313
23	42	314
24	44	313
25	46	310
26	48	311
27	50	308
28	51	306
29	53	305
30	55	302
31	57	301
32	58	298
33	60	297
34	62	292
35	63	289
36	65	286
37	66	285
38	68	282
39	69	279
40	71	277
41	73	276
42	75	275
43	76	272
44	78	269
45	79	267
46	81	265
47	83	262
48	84	260
49	86	258
50	88	257
51	89	255
52	91	252
53	92	251
54	94	249
55	96	248
56	98	245
57	99	244
58	101	243
59	103	241
60	104	238
61	106	236
62	108	235
63	109	232
64	111	230
65	112	228
66	114	226
67	115	224
68	117	223
69	119	221
70	121	220
71	122	218
72	124	216
73	126	214
74	127	213
75	129	211
76	130	209
77	132	207
78	134	205
79	135	203
80	137	201
81	138	199
82	140	198
83	142	196
84	143	194
85	145	192
86	146	189
87	147	188
88	149	186
89	150	184
90	152	182
91	154	181
92	155	179
93	157	177
94	158	175
95	160	173
96	162	172
97	164	170
98	166	169
99	168	168
100	169	166
101	171	164
102	173	163
103	175	161
104	177	160
105	179	159
106	181	157
107	183	156
108	185	154
109	187	153
110	189	152
111	211	166
112	215	166
113	218	164
114	221	163
115	223	162
116	226	160
117	228	158
118	230	156
119	231	154
120	233	152
121	235	150
122	237	148
123	239	146
124	241	144
125	243	142
126	244	140
127	246	138
128	248	136
129	249	134
130	251	132
131	253	130
132	255	128
133	257	126
134	258	124
135	260	122
136	262	120
137	263	118
138	265	116
139	267	114
140	269	112
141	270	110
142	272	108
143	274	106
144	275	104
145	277	102
146	279	100
147	281	98
148	282	96
149	284	94
150	289	94
151	291	92
152	293	90
153	295	88
154	297	86
155	300	84
156	302	82
157	303	80
158	305	78
159	307	76
160	308	74
161	310	72
162	312	71
163	314	69
164	316	67
165	317	65
166	319	63
167	321	61
168	323	59
169	325	57
170	327	55
171	328	53
172	330	51
173	332	49
174	333	47
175	335	45
176	336	43
177	338	41
178	340	39
179	341	37
180	343	36
181	345	34
182	347	32
183	348	30
184	350	28
185	351	26
186	353	24
187	355	22
188	356	20
189	358	18
190	360	16
191	361	15
192	363	13
193	365	11
194	367	9
195	368	7
196	370	5
197	372	3
198	374	1
199	375	0
